sector,property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
sector 95,flat,the roselia 2,0.45,6475.0,2,2,2,19.0,New Property,695.0,0,0,0,0,0,1,0
sector 78,flat,umang monsoon breeze,1.2,6494.0,3,3,2,8.0,Moderately New Property,2045.0,0,0,0,1,0,2,8
manesar,flat,hsiidc sidco aravali,0.91,3516.0,3,3,3+,8.0,Moderately New Property,1900.0,1,0,0,0,0,1,23
sector 108,flat,sobha city,3.35,13267.0,3,4,2,19.0,New Property,2525.0,0,0,0,0,0,1,102
sector 108,flat,sobha city,1.9,13758.0,2,2,2,8.0,Relatively new property,1250.0,0,0,0,0,0,1,85
sector 65,flat,m3m heights,2.15,15003.0,2,2,3+,28.0,Relatively new property,1433.0,0,0,0,0,0,1,48
sector 86,flat,dlf new town heights,1.4,5942.0,4,4,3+,20.0,Relatively new property,2132.0,1,0,0,1,0,1,65
sector 3,house,independent,0.37,7916.0,1,1,1,1.0,Relatively new property,480.0,0,0,0,0,0,1,0
sector 79,flat,godrej,1.29,8206.0,2,2,3,4.0,New Property,1423.0,0,0,0,0,0,1,0
sector 43,house,independent,7.85,29074.0,9,9,3+,3.0,Relatively new property,2700.0,1,1,1,1,0,2,49
sector 45,house,independent,8.5,26235.0,5,4,2,1.0,Moderately New Property,3240.0,1,0,0,1,0,0,49
sector 95,flat,ramsons kshitij,0.22,6471.0,1,1,1,2.0,New Property,308.0,0,0,0,0,0,1,0
sector 62,flat,pioneer araya,8.35,19514.0,4,6,3,16.0,Relatively new property,3872.0,1,0,0,1,0,1,153
sector 54,flat,dlf park place,6.75,24963.0,4,4,2,8.0,Moderately New Property,2076.0,1,0,0,0,0,2,135
sector 72,flat,tata primanti,6.5,15294.0,4,4,3+,0.0,Relatively new property,3846.0,1,1,0,1,0,1,67
gwal pahari,flat,.,7.0,10999.0,4,4,3+,6.0,Relatively new property,5430.0,1,0,0,0,0,1,52
sector 4,house,independent,1.1,11111.0,3,4,1,2.0,Moderately New Property,990.0,0,0,0,0,0,1,0
sector 61,flat,smart world orchard,2.55,15644.0,3,3,2,4.0,New Property,1630.0,0,0,1,0,0,1,30
sector 85,flat,ss the leaf,1.75,7267.0,3,4,3,8.0,Relatively new property,2179.0,1,0,0,0,0,1,49
sector 4,house,independent,0.58,9619.0,2,2,1,2.0,Moderately New Property,67.0,0,0,1,1,0,1,7
sector 52,house,ardee city,5.5,20370.0,9,9,3+,3.0,Moderately New Property,2700.0,1,0,1,1,0,0,26
sector 3,flat,godrej habitat,1.2,8310.0,2,2,3,0.0,Under Construction,1307.0,0,0,0,0,0,1,60
sector 109,house,international city by sobha phase 2,12.5,26667.0,5,6,3,3.0,Relatively new property,4500.0,1,1,0,1,1,1,63
sector 4,flat,huda ashok vihar phase,0.43,6615.0,2,2,1,2.0,Relatively new property,722.0,0,0,0,0,0,1,7
sector 85,flat,ss the leaf,2.2,11179.0,4,5,3+,4.0,Relatively new property,2390.0,1,0,0,1,0,1,174
sector 82,flat,mapsko royale ville,1.15,6425.0,3,4,2,15.0,Relatively new property,1620.0,1,0,0,1,0,0,104
sector 61,flat,smart world orchard,1.47,12783.0,2,2,2,4.0,New Property,1278.0,0,1,0,1,0,1,53
sector 104,flat,puri emerald bay,1.5,9677.0,2,2,2,7.0,Under Construction,1403.0,0,0,1,0,0,1,43
sector 69,flat,tulip violet,1.4,8872.0,3,3,2,11.0,Relatively new property,1428.0,0,0,0,1,0,1,126
sector 33,flat,central park flower valley aqua front towers,2.1,11738.0,3,3,2,6.0,Under Construction,1619.0,0,0,0,0,0,1,24
sector 43,house,independent,27.5,24366.0,6,7,3+,3.0,Relatively new property,11286.0,1,1,1,1,0,0,42
sector 28,flat,suncity platinum towers,6.0,22346.0,3,3,2,8.0,Moderately New Property,2983.0,1,0,0,0,0,1,31
sector 41,house,independent,11.0,33951.0,4,4,2,3.0,New Property,3240.0,1,1,0,1,0,1,35
sector 70,flat,unitech vistas,0.99,6326.0,3,4,2,11.0,Under Construction,1416.0,0,0,0,0,0,1,0
sector 77,flat,umang winter hills,0.99,7857.0,2,2,2,1.0,Relatively new property,1126.0,0,0,0,0,0,1,97
sector 33,flat,central park flower valley cerise floors,1.3,10744.0,2,2,2,3.0,New Property,1095.0,0,1,0,0,0,1,22
gwal pahari,flat,nul,0.56,6054.0,2,2,1,11.0,Old Property,1028.0,0,0,0,0,0,0,0
sector 110,flat,indiabulls enigma,4.25,10954.0,5,5,3+,4.0,Relatively new property,3511.0,1,0,0,0,0,1,101
sector 4,house,independent,2.3,17014.0,4,4,3,2.0,Old Property,160.0,0,0,0,0,0,0,15
sector 67,flat,m3m merlin,2.9,14167.0,3,3,3,0.0,Relatively new property,2047.0,0,0,1,0,0,0,49
sector 43,flat,ansal maple crescent,1.35,10037.0,3,3,3,2.0,Old Property,1320.0,0,0,1,0,0,0,93
sector 37d,flat,signature global city 37d ph 2,1.1,8148.0,3,3,1,2.0,Under Construction,1500.0,0,0,0,1,0,1,30
manesar,flat,hsiidc sidco shivalik apartments,0.73,3559.0,3,3,3+,2.0,Moderately New Property,1705.0,1,0,0,0,0,1,80
sector 109,flat,ats kocoon,2.22,10597.0,3,4,3,14.0,Relatively new property,1860.0,1,1,0,1,1,1,45
sector 109,house,international city by sobha phase 2,10.0,27778.0,4,5,3+,2.0,New Property,3600.0,1,1,1,1,0,0,49
sector 17,house,independent,3.0,11111.0,4,4,0,1.0,Old Property,3000.0,0,0,0,0,0,1,0
sector 37d,flat,signature global city,0.68,11724.0,2,2,3,9.0,New Property,644.0,0,0,1,0,0,1,58
sector 4,house,independent,3.25,14444.0,3,3,2,2.0,Old Property,2250.0,0,0,0,0,0,1,27
sector 84,flat,ss almeria,1.5,7500.0,3,3,3,2.0,New Property,1849.0,1,0,0,0,0,1,108
sector 70,flat,unitech vistas,0.53,4801.0,2,2,2,9.0,Under Construction,991.0,0,0,1,0,0,1,24
