,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
16,sector 4,house,independent,1.1,11111.0,990.01,Built Up area: 990 (91.97 sq.m.),6,4,1,2.0,North,Undefined,,990.0,,0,0,0,0,0,1,0,165.00166666666667
64,sector 55,house,independent,1.45,26852.0,540.0,Plot area 60(5.57 sq.m.),4,4,3+,4.0,East,Relatively new property,,60.0,,0,0,0,0,1,1,70,135.0
74,sector 4,house,independent,0.5,9259.0,540.02,Plot area 540(50.17 sq.m.),5,3,2,3.0,West,Old Property,,540.0,,0,0,0,0,0,1,0,108.00399999999999
125,sector 4,house,independent,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively new property,,76.0,,0,0,1,0,0,1,7,228.0
139,sector 12,house,independent,0.9,13333.0,675.02,Built Up area: 675 (62.71 sq.m.),4,4,0,2.0,Na,Undefined,,675.0,,0,0,0,0,0,1,0,168.755
155,manesar,house,independent,1.1,6172.0,1782.24,Plot area 1782(165.55 sq.m.),8,8,0,1.0,Na,New Property,,1782.0,,0,0,0,0,0,1,0,222.78
170,sector 6,house,independent,0.66,10784.0,612.02,Plot area 612(56.86 sq.m.),3,2,1,2.0,Na,Old Property,,612.0,,0,0,0,0,0,1,36,204.00666666666666
184,sector 4,house,independent,1.1,6111.0,1800.03,Plot area 200(167.23 sq.m.),8,4,3+,2.0,West,Old Property,,1800.0,,0,0,0,0,0,1,7,225.00375
203,sector 3,house,independent,0.8,8155.0,980.99,Plot area 109(91.14 sq.m.),5,4,1,2.0,Na,Moderately New Property,,981.0,,0,0,0,0,0,1,0,196.198
208,sector 11,house,"nirmal enclave, maruti kunj road",0.24,5333.0,450.03,Plot area 450(41.81 sq.m.),2,2,0,2.0,North,Relatively new property,,450.0,,0,0,0,0,0,1,0,225.015
227,sector 41,house,independent,4.25,26235.0,1619.97,Plot area 180(150.5 sq.m.),10,9,3+,4.0,North,Moderately New Property,,1620.0,,1,1,0,0,0,0,36,161.997
253,sector 5,house,sheetla enclave,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7,4,2,3.0,Na,Moderately New Property,,945.0,,0,0,0,1,1,0,0,137.14285714285714
261,sector 3 phase 3 extension,house,ashok vihar phase iii extension,0.4,8889.0,449.99,Plot area 50(41.81 sq.m.),7,4,3+,4.0,Na,New Property,,450.0,,0,0,0,1,0,1,7,64.28428571428572
296,sohna road,flat,mvn athens,0.26,5394.0,482.0,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5.0,Na,Relatively new property,,,481.684525,0,0,0,0,0,1,95,241.0
297,sector 95,flat,rof ananda,0.38,5901.0,644.0,Carpet area: 644.12 (59.84 sq.m.),3,2,1,2.0,South-East,Relatively new property,,,644.111776,0,0,0,1,0,0,66,214.66666666666666
312,sector 107,flat,signature global solera,0.28,5833.0,480.0,Carpet area: 489 (45.43 sq.m.),2,2,2,0.0,North-East,Relatively new property,,,489.0,0,0,0,0,0,1,45,240.0
343,sector 84,flat,pivotal devaan,0.35,7246.0,483.0,Carpet area: 483 (44.87 sq.m.),2,2,2,4.0,East,Relatively new property,,,483.0,0,0,0,0,0,1,37,241.5
344,sector 17,house,iffco nagar and 17b rwa,2.98,20566.0,1448.99,Plot area 161(134.62 sq.m.),6,6,3+,3.0,East,Relatively new property,,1449.0,,0,1,0,1,0,1,78,241.49833333333333
358,sector 28,house,independent,0.75,20833.0,360.01,Plot area 40(33.45 sq.m.),7,4,3+,4.0,Na,Moderately New Property,,360.0,,0,0,0,0,0,1,7,51.43
370,sector 105,house,row house,0.43,9135.0,470.72,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2.0,Na,Relatively new property,,1050.0,,0,0,0,0,0,1,0,156.90666666666667
387,sector 95,flat,ramsons kshitij,0.4,5839.0,685.0,Carpet area: 685 (63.64 sq.m.),3,2,2,6.0,Na,Undefined,,,685.0,0,0,0,0,0,1,0,228.33333333333334
394,sector 8,house,independent,0.82,10224.0,802.03,Carpet area: 802 (74.51 sq.m.),4,4,0,2.0,Na,Undefined,,,802.0,0,0,0,0,0,1,0,200.5075
401,sector 4,house,independent,0.47,10601.0,443.35,Plot area 49(40.97 sq.m.)Built Up area: 50 sq.yards (41.81 sq.m.)Carpet area: 48 sq.yards (40.13 sq.m.),2,2,1,2.0,East,New Property,,50.0,48.0,0,1,0,0,0,0,73,221.675
424,sector 21,house,independent,0.45,8411.0,535.01,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,Na,Undefined,,,535.0,0,0,0,0,0,1,0,178.33666666666667
