sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score,area_room_ratio
sector 95,flat,the roselia 2,0.45,6475.0,695.0,Built Up area: 695 (64.57 sq.m.)Carpet area: 595 sq.ft. (55.28 sq.m.),2,2,2,19.0,North,Undefined,,695.0,595.0,0,0,0,0,0,1,0,347.5
sector 78,flat,umang monsoon breeze,1.2,6494.0,1848.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1848 sq.ft. (171.68 sq.m.),3,3,2,8.0,Na,Moderately New Property,2250.0,,1848.0,0,0,0,1,0,2,8,616.0
manesar,flat,hsiidc sidco aravali,0.91,3516.0,2588.0,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3+,8.0,East,Moderately New Property,2588.0,1900.0,,1,0,0,0,0,1,23,862.6666666666666
sector 108,flat,sobha city,3.35,13267.0,2525.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,Na,New Property,2072.9,,,0,0,0,0,0,1,102,841.6666666666666
sector 108,flat,sobha city,1.9,13758.0,1381.0,Super Built up area 1381(128.3 sq.m.),2,2,2,8.0,East,Relatively new property,1381.0,,,0,0,0,0,0,1,85,690.5
sector 65,flat,m3m heights,2.15,15003.0,1433.0,Built Up area: 1433 (133.13 sq.m.),2,2,3+,28.0,East,Undefined,,1433.0,,0,0,0,0,0,1,48,716.5
sector 86,flat,dlf new town heights,1.4,5942.0,2356.0,Super Built up area 2356(218.88 sq.m.),4,4,3+,20.0,South-East,Relatively new property,2356.0,,,1,0,0,1,0,1,65,589.0
sector 3,house,independent,0.37,7916.0,467.41,Built Up area: 480 (44.59 sq.m.),1,1,1,1.0,Na,Relatively new property,,480.0,,0,0,0,0,0,1,0,467.41
sector 79,flat,godrej,1.29,8206.0,1572.0,Super Built up area 1572(146.04 sq.m.),2,2,3,4.0,Na,New Property,1572.0,,,0,0,0,0,0,1,0,786.0
sector 43,house,independent,7.85,29074.0,2700.01,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively new property,,2700.0,,1,1,1,1,0,2,49,300.00111111111113
