sector,property_type,price,bedRoom,bathroom,balcony,floor_category,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category
sector 95,flat,0.45,2,2,2,High floor,New Property,695.0,0,0,1,Low
sector 78,flat,1.2,3,3,2,Mid floor,Moderately New Property,2045.0,0,0,2,Low
manesar,flat,0.91,3,3,3+,Mid floor,Moderately New Property,1900.0,1,0,1,Low
sector 108,flat,3.35,3,4,2,High floor,New Property,2525.0,0,0,1,Medium
sector 108,flat,1.9,2,2,2,Mid floor,Relatively new property,1250.0,0,0,1,Medium
sector 65,flat,2.15,2,2,3+,High floor,Relatively new property,1433.0,0,0,1,Low
sector 86,flat,1.4,4,4,3+,High floor,Relatively new property,2132.0,1,0,1,Medium
sector 3,house,0.37,1,1,1,Low floor,Relatively new property,480.0,0,0,1,Low
sector 79,flat,1.29,2,2,3,Mid floor,New Property,1423.0,0,0,1,Low
sector 43,house,7.85,9,9,3+,Mid floor,Relatively new property,2700.0,1,0,2,Low
sector 45,house,8.5,5,4,2,Low floor,Moderately New Property,3240.0,1,0,0,Low
sector 95,flat,0.22,1,1,1,Low floor,New Property,308.0,0,0,1,Low
sector 62,flat,8.35,4,6,3,High floor,Relatively new property,3872.0,1,0,1,High
sector 54,flat,6.75,4,4,2,Mid floor,Moderately New Property,2076.0,1,0,2,Medium
sector 72,flat,6.5,4,4,3+,Low floor,Relatively new property,3846.0,1,0,1,Medium
gwal pahari,flat,7.0,4,4,3+,Mid floor,Relatively new property,5430.0,1,0,1,Medium
sector 4,house,1.1,3,4,1,Low floor,Moderately New Property,990.0,0,0,1,Low
sector 61,flat,2.55,3,3,2,Mid floor,New Property,1630.0,0,0,1,Low
sector 85,flat,1.75,3,4,3,Mid floor,Relatively new property,2179.0,1,0,1,Low
sector 4,house,0.58,2,2,1,Low floor,Moderately New Property,67.0,0,0,1,Low
sector 52,house,5.5,9,9,3+,Mid floor,Moderately New Property,2700.0,1,0,0,Low
sector 3,flat,1.2,2,2,3,Low floor,Under Construction,1307.0,0,0,1,Medium
sector 109,house,12.5,5,6,3,Mid floor,Relatively new property,4500.0,1,1,1,Medium
sector 4,flat,0.43,2,2,1,Low floor,Relatively new property,722.0,0,0,1,Low
sector 85,flat,2.2,4,5,3+,Mid floor,Relatively new property,2390.0,1,0,1,High
sector 82,flat,1.15,3,4,2,High floor,Relatively new property,1620.0,1,0,0,Medium
sector 61,flat,1.47,2,2,2,Mid floor,New Property,1278.0,0,0,1,Medium
sector 104,flat,1.5,2,2,2,Mid floor,Under Construction,1403.0,0,0,1,Low
sector 69,flat,1.4,3,3,2,High floor,Relatively new property,1428.0,0,0,1,Medium
sector 33,flat,2.1,3,3,2,Mid floor,Under Construction,1619.0,0,0,1,Low
sector 43,house,27.5,6,7,3+,Mid floor,Relatively new property,11286.0,1,0,0,Low
sector 28,flat,6.0,3,3,2,Mid floor,Moderately New Property,2983.0,1,0,1,Low
sector 41,house,11.0,4,4,2,Mid floor,New Property,3240.0,1,0,1,Low
sector 70,flat,0.99,3,4,2,High floor,Under Construction,1416.0,0,0,1,Low
sector 77,flat,0.99,2,2,2,Low floor,Relatively new property,1126.0,0,0,1,Medium
sector 33,flat,1.3,2,2,2,Mid floor,New Property,1095.0,0,0,1,Low
gwal pahari,flat,0.56,2,2,1,High floor,Old Property,1028.0,0,0,0,Low
sector 110,flat,4.25,5,5,3+,Mid floor,Relatively new property,3511.0,1,0,1,Medium
sector 4,house,2.3,4,4,3,Low floor,Old Property,160.0,0,0,0,Low
sector 67,flat,2.9,3,3,3,Low floor,Relatively new property,2047.0,0,0,0,Low
sector 43,flat,1.35,3,3,3,Low floor,Old Property,1320.0,0,0,0,Medium
sector 37d,flat,1.1,3,3,1,Low floor,Under Construction,1500.0,0,0,1,Low
manesar,flat,0.73,3,3,3+,Low floor,Moderately New Property,1705.0,1,0,1,Medium
sector 109,flat,2.22,3,4,3,High floor,Relatively new property,1860.0,1,1,1,Low
sector 109,house,10.0,4,5,3+,Low floor,New Property,3600.0,1,0,0,Low
sector 17,house,3.0,4,4,0,Low floor,Old Property,3000.0,0,0,1,Low
sector 37d,flat,0.68,2,2,3,Mid floor,New Property,644.0,0,0,1,Medium
sector 4,house,3.25,3,3,2,Low floor,Old Property,2250.0,0,0,1,Low
sector 84,flat,1.5,3,3,3,Low floor,New Property,1849.0,1,0,1,Medium
sector 70,flat,0.53,2,2,2,Mid floor,Under Construction,991.0,0,0,1,Low
sector 102,flat,2.04,3,3,3+,Low floor,Relatively new property,1644.0,0,0,1,Medium
sohna road,flat,0.78,2,2,2,Mid floor,Relatively new property,1319.0,0,0,0,Medium
sector 79,flat,2.55,4,5,2,Mid floor,New Property,2675.0,1,0,1,Low
sector 43,house,14.0,9,9,3+,Mid floor,Moderately New Property,3510.0,1,0,1,Low
sector 55,house,3.55,4,4,3+,Low floor,Old Property,1448.98,0,0,0,Low
sector 84,flat,0.3,1,1,1,High floor,New Property,500.0,0,0,0,Low
sector 48,house,8.2,3,3,2,Low floor,Moderately New Property,3240.0,1,0,2,High
