,sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,others,pooja room,store room,furnishing_type,luxury_score
9,sector 43,house,independent,7.85,29074.0,2700.01,Plot area 300(250.84 sq.m.),9,9,3+,3.0,West,Relatively new property,,2700.0,,1,1,1,1,0,2,49
10,sector 45,house,independent,8.5,26235.0,3239.95,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately New Property,,3240.0,,1,0,0,1,0,0,49
13,sector 54,flat,dlf park place,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately New Property,2704.0,,1534.0,1,0,0,0,0,2,135
19,sector 25,house,independent,16.0,59259.0,2700.01,Plot area 350(292.64 sq.m.)Built Up area: 325 sq.yards (271.74 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),16,16,3+,4.0,West,New Property,,325.0,300.0,1,1,0,1,1,0,72
20,sector 4,house,independent,0.58,86567.0,67.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately New Property,,67.0,,0,0,1,1,0,1,7
21,sector 52,house,ardee city,5.5,183333.0,300.0,Plot area 300(27.87 sq.m.),9,9,3+,3.0,South,Moderately New Property,,300.0,,1,0,1,1,0,0,26
23,sector 109,house,international city by sobha phase 2,12.5,26667.0,4687.44,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively new property,,4500.0,,1,1,0,1,1,1,63
33,sector 41,house,independent,11.0,33951.0,3239.96,Plot area 360(301.01 sq.m.),4,4,2,3.0,East,New Property,,3240.0,,1,1,0,1,0,1,35
46,sector 109,house,international city by sobha phase 2,10.0,27778.0,3599.97,Plot area 400(334.45 sq.m.),4,5,3+,2.0,East,New Property,,3600.0,,1,1,1,1,0,0,49
55,sector 49,house,uppal southend,6.75,32328.0,2087.97,Plot area 232(193.98 sq.m.),12,12,3+,3.0,North,Moderately New Property,,2088.0,,1,1,1,1,0,0,49
56,sector 43,house,independent,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3+,4.0,North,Moderately New Property,,3510.0,,1,0,0,0,0,1,7
57,sector 55,house,independent,3.55,24500.0,1448.98,Plot area 161(134.62 sq.m.),4,4,3+,2.0,Na,Old Property,,1449.0,,0,0,0,0,0,0,27
